"","ID","pages","mean_nchar","mean_words","mean_kango","mean_wago"
"1",11002,8,1025.125,636,0.446545166078339,0.428810705241289
"2",13374,8,850.625,538,0.451443731240836,0.411315928619839
"3",22012,46,724.826086956522,452.891304347826,0.441359834029985,0.435558145328968
"4",32018,16,801.0625,484.5,0.422459105955178,0.463775323409436
"5",41009,24,1242.45833333333,763.5,0.417255980765662,0.464917320317096
"6",42072,29,867.068965517241,536.965517241379,0.38227306595893,0.443824429977312
"7",42153,35,935.742857142857,554.514285714286,0.387027144453878,0.4261435500867
"8",52019,17,1038.05882352941,613.764705882353,0.397238489314061,0.317091323903132
"9",62014,4,1172.5,732.5,0.473111867041077,0.447309572530178
"10",72010,30,890.033333333333,543.566666666667,0.41377511677457,0.333466313886938
"11",72125,22,860.136363636364,535.363636363636,0.450707151162062,0.355348327734307
"12",82015,51,1102.49019607843,651.627450980392,NA,NA
"13",82198,22,1013.95454545455,622.590909090909,0.419534601055301,0.44360763634618
"14",82201,30,1063.26666666667,636.5,NA,NA
"15",92011,45,969.911111111111,589.044444444444,0.382234772408953,0.365293019616196
"16",102016,39,918.615384615385,562.282051282051,0.465519507256993,0.352633791718902
"17",112011,32,994.625,602.25,0.386644774722729,0.389503714733528
"18",112020,9,1007.33333333333,614.666666666667,0.342096662994243,0.349338653417206
"19",112038,122,942.196721311475,577.475409836066,NA,NA
"20",112071,15,739.6,457.6,0.401085394662551,0.395876332625745
"21",112089,46,1036.82608695652,626.173913043478,0.403074042438654,0.41720723261139
"22",112097,28,1063.89285714286,631.678571428571,0.402852888523408,0.418098718806059
"23",112101,17,763.235294117647,466.235294117647,0.46092340049998,0.353025383515851
"24",112119,14,754.714285714286,464.285714285714,0.370366470614086,0.293532329256232
"25",112127,34,681.264705882353,420.264705882353,NA,NA
"26",112143,40,707.425,428.725,NA,NA
"27",112151,29,849.862068965517,525.931034482759,0.410954790643059,0.408200120538002
"28",112160,16,539.875,334.0625,0.437199999568371,0.407731799647171
"29",112178,59,829.576271186441,501.661016949153,0.398644052211405,0.439173732629222
"30",112186,4,910.25,556,0.415482327450139,0.514226148020173
"31",112194,42,811.547619047619,497.97619047619,0.417710308102892,0.445084909970558
"32",112216,24,1346.66666666667,834.833333333333,0.449726798028155,0.392814580217638
"33",112224,40,1643.475,986.1,0.411204723051859,0.405763094716669
"34",112232,32,1182.65625,742.96875,0.428822095434768,0.418847601661921
"35",112241,24,1006.5,632.25,0.429059115008464,0.45094819935451
"36",112259,33,805.818181818182,495.909090909091,0.401063978092364,0.414944476224183
"37",112283,35,504.571428571429,243.657142857143,0.000437312124943153,0.00095850942287001
"38",112291,71,764.971830985916,472.971830985916,0.420706197096606,0.416297466512596
"39",112305,45,955.555555555556,593.955555555556,0.455134734566336,0.386148226380429
"40",112313,28,790.857142857143,484.25,0.390608147296041,0.389159235257649
"41",112321,40,597.35,367.825,NA,NA
"42",112330,20,1094,677.25,0.44155707626756,0.382318417688628
"43",112348,30,987.466666666667,612.4,0.433258193196295,0.398161008262029
"44",112356,82,752.256097560976,455.30487804878,NA,NA
"45",112372,28,1100.64285714286,680.678571428571,NA,NA
"46",112381,30,701.7,436.766666666667,0.415298015176177,0.435707762876726
"47",112399,20,1094,677.25,0.44155707626756,0.382318417688628
"48",112402,31,814.516129032258,506.032258064516,0.402882438570417,0.475452021486313
"49",112411,40,610.35,374.6,0.348679758329582,0.387383841089178
"50",112429,16,759.5,462.25,0.378312247478765,0.344065611156951
"51",112437,40,774.1,464.675,0.42722974443264,0.35268043091031
"52",112453,4,1726.25,1077.25,0.492905810602039,0.436095078979136
"53",112461,26,609.807692307692,384,0.416342500120023,0.402338678061852
"54",121002,20,947.5,582.05,0.448459170676231,0.440429670551677
"55",122025,14,805.857142857143,497.285714285714,0.41781285850442,0.454657684263474
"56",122033,79,880.645569620253,525.949367088608,0.399429450925212,0.333070848163798
"57",122041,110,923.336363636364,555.681818181818,NA,NA
"58",122068,31,0,0,NA,NA
"59",122076,27,1236.51851851852,718.851851851852,0.431130782070629,0.308284034483267
"60",122084,24,965.666666666667,603.583333333333,NA,NA
"61",122106,26,835.923076923077,519.884615384615,0.42867162420957,0.441919939003974
"62",122114,27,0,0,NA,NA
"63",122122,47,966.553191489362,595.31914893617,0.445223606622567,0.422352661178994
"64",122131,22,736,459.272727272727,0.465296243654282,0.380517242110795
"65",122157,23,566.391304347826,350.782608695652,0.434503823500265,0.397798350202116
"66",122165,28,1174.67857142857,727.107142857143,0.41993783254655,0.438733636028107
"67",122173,26,1196.65384615385,745.961538461538,0.384945131864601,0.370779258169587
"68",122181,18,0,0,NA,NA
"69",122190,55,977.654545454545,594.054545454545,0.415326187671415,0.383266496031586
"70",122203,26,542.692307692308,339.192307692308,NA,NA
"71",122211,19,1197.78947368421,742.421052631579,0.401138062954992,0.403987317288208
"72",122220,20,960.65,599.4,0.436427902420614,0.376075991802076
"73",122238,16,556.1875,342.3125,0.415005906380693,0.386642132678394
"74",122246,22,0,0,NA,NA
"75",122254,4,938.25,572,0.448339597312177,0.373674937533403
"76",122262,1,248,150,0.533333333333333,0.426666666666667
"77",122271,46,790.934782608696,476.673913043478,0.39091649476189,0.300702974089435
"78",122289,31,1042.1935483871,639.612903225806,0.391586569824901,0.391619717418047
"79",122297,35,756.628571428571,456.914285714286,0.468165766398744,0.345101743353828
"80",122301,22,775.954545454545,483.681818181818,0.414427356916581,0.364100296586189
"81",122319,33,623.090909090909,385.030303030303,0.374156921247714,0.417219166291768
"82",122327,38,868.236842105263,528.815789473684,0.393925194657476,0.414013500204651
"83",122335,44,631.318181818182,383.795454545455,0.415973593683098,0.41080782931901
"84",122343,10,731.1,456.2,0.416862038637358,0.443777383361229
"85",122351,7,604.142857142857,374.142857142857,0.457835944940448,0.356463829828469
"86",122360,4,1224.5,745.75,0.392052792761313,0.351917513399436
"87",122378,38,928.5,575.684210526316,0.441098982431224,0.427729271477614
"88",122394,13,630.076923076923,385.692307692308,0.455894071252299,0.363868027741896
"89",131016,114,722.280701754386,430.719298245614,NA,NA
"90",131024,106,721.72641509434,442.396226415094,NA,NA
"91",131032,44,1044.34090909091,647.636363636364,0.418914330309788,0.433131557867719
"92",131041,172,726.441860465116,429.151162790698,NA,NA
"93",131059,70,747.514285714286,451.071428571429,0.431418569359702,0.408771353008849
"94",131067,44,1041.95454545455,638.181818181818,0.402526255767943,0.398152047432572
"95",131075,40,1077.275,653.85,0.405632004259246,0.380895885353039
"96",131083,64,1246.703125,743.484375,0.380997142568171,0.366309401463447
"97",131091,80,741.1125,444.2125,NA,NA
"98",131105,71,563.830985915493,346.197183098592,NA,NA
"99",131113,60,1323.4,798.133333333333,0.400611800125525,0.381196597826924
"100",131121,124,1005.54838709677,594.911290322581,0.362413901940359,0.331152373258621
"101",131130,48,940.354166666667,571.604166666667,0.389319835158696,0.415591006495873
"102",131148,29,1911.89655172414,1157.20689655172,0.405429458531977,0.402748755102338
"103",131156,76,1285.71052631579,774.026315789474,0.380255509981045,0.357010049724797
"104",131164,72,971.708333333333,580.805555555556,0.421775380839404,0.37653642161754
"105",131172,42,1353.88095238095,825.52380952381,0.410865455283775,0.369282403260459
"106",131199,152,1098.16447368421,626.348684210526,0.396730714517993,0.350175805537101
"107",131202,60,1129.98333333333,703.15,0.402880956221059,0.456034582065354
"108",131211,64,961.25,567.09375,0.347138713723161,0.314891115985067
"109",131229,68,1147.61764705882,679.617647058824,0.380738138628591,0.398226455196406
"110",131237,36,1025.25,627.361111111111,0.439894775591666,0.412943548704549
"111",132012,60,982.116666666667,597.6,NA,NA
"112",132021,24,1277.54166666667,774.541666666667,0.386966696674425,0.441363626936136
"113",132039,110,842.218181818182,512.654545454545,NA,NA
"114",132047,40,591.375,372.15,0.435453664745378,0.379705818461455
"115",132055,54,255.444444444444,158.796296296296,NA,NA
"116",132063,53,1221.24528301887,736.188679245283,0.398951948833572,0.386364949224409
"117",132071,44,990.386363636364,607.204545454545,0.412676340170069,0.434837060088256
"118",132080,47,876.489361702128,534.212765957447,NA,NA
"119",132098,64,941.5,563.390625,0.378879304376589,0.396174441406281
"120",132101,140,1023.87857142857,622.314285714286,NA,NA
"121",132110,79,824.189873417722,506.367088607595,0.421592876714472,0.389680693186176
"122",132136,12,703.833333333333,443.333333333333,0.456158658935987,0.389334594892861
"123",132144,55,812.8,522.4,0.391517828460406,0.479641498516994
"124",132152,28,0,0,NA,NA
"125",132187,28,759.571428571429,470.392857142857,0.414322366714292,0.428490983192427
"126",132195,97,618.731958762887,374.525773195876,NA,NA
"127",132209,46,976.934782608696,604.065217391304,NA,NA
"128",132217,52,1138.53846153846,717.269230769231,NA,NA
"129",132225,49,520.387755102041,298.551020408163,0.0180574904134771,0.0103604634516856
"130",132233,27,983.962962962963,613.037037037037,0.408763415008004,0.402518664242435
"131",132241,96,973.177083333333,589.34375,NA,NA
"132",132250,38,1286.18421052632,786.526315789474,0.435357944592684,0.408121375944983
"133",132276,44,669.931818181818,408.431818181818,0.436708815366984,0.383606239963752
"134",132284,36,713.861111111111,435,0.41936323090651,0.375938101627159
"135",132292,47,894.425531914894,556.808510638298,0.421705360155547,0.434446457995129
"136",141003,40,1103.825,666.35,0.423409662351764,0.447517291089764
"137",141305,64,1634.015625,959.25,0.372999614147988,0.34570715372471
"138",141500,26,1005.5,610.538461538462,0.416098188964747,0.422115015445984
"139",142018,20,856.2,535.8,0.463759044023076,0.427753633524818
"140",142034,42,1094.54761904762,743.47619047619,0.414827233935632,0.39860924477362
"141",142042,34,760.058823529412,476.882352941176,0.389599047545899,0.46127080312237
"142",142051,47,1302.21276595745,787.702127659574,NA,NA
"143",142069,28,996.714285714286,605.607142857143,0.36857432002469,0.425090059647333
"144",142077,46,858.173913043478,529.95652173913,0.417284823277366,0.370437560631913
"145",142085,48,697.541666666667,438.791666666667,0.401638234889269,0.428777512675715
"146",142107,2,874,548,0.431716901636688,0.493004915464809
"147",142115,24,622.166666666667,382,0.418596111337333,0.383333563342115
"148",142123,54,1028.2962962963,607.12962962963,0.44751557238414,0.282926137161363
"149",142131,40,1225.5,740.95,0.387307584743283,0.417701739055179
"150",142140,43,661.186046511628,391.232558139535,NA,NA
"151",142158,64,55.703125,32.21875,NA,NA
"152",142166,36,974.25,602.138888888889,0.441931757512789,0.349342041427361
"153",142174,16,1211.75,754.625,0.423407623366305,0.434961198154757
"154",142182,44,868.227272727273,538.681818181818,0.405392097009464,0.448010189826502
"155",151009,40,350.025,218.65,0.185218624516905,0.158601386602193
"156",162019,54,695.314814814815,414.796296296296,0.385437043034084,0.372081776758938
"157",182010,2,1050.5,655,0.455485527544351,0.422525676937442
"158",202011,36,980.055555555556,605.805555555556,0.418819273204862,0.434023211703941
"159",212016,46,768.45652173913,462.239130434783,0.415341479234066,0.349668769852406
"160",221007,8,1032.875,652.25,0.453448153900183,0.436517896812968
"161",221309,70,599.114285714286,369.971428571429,0.392055649286201,0.431533357352755
"162",231002,28,875.035714285714,533.357142857143,0.396500060171526,0.391481864896568
"163",242012,27,946.703703703704,593.962962962963,0.414366981580943,0.353155852482954
"164",252018,36,1230.38888888889,757.388888888889,0.342293361248051,0.39100366562068
"165",252077,25,757.08,471.92,0.444539230705364,0.390675722994748
"166",252085,44,1165.95454545455,691.181818181818,0.438294077433926,0.339470366139291
"167",261009,20,1063.05,642.85,0.421654586992871,0.438295711568594
"168",262081,24,850,531.541666666667,0.381699411951243,0.340772284398722
"169",271004,28,1112.25,679.857142857143,0.432066324832558,0.454581060233315
"170",271403,72,1125.36111111111,688.055555555556,0.455749351466729,0.408670317581837
"171",272051,36,1037.13888888889,630.138888888889,NA,NA
"172",272272,22,1145.72727272727,686.5,0.458614906991288,0.244336714427757
"173",281000,7,0,0,NA,NA
"174",282014,52,784.480769230769,479.057692307692,NA,NA
"175",282022,4,831.25,510.25,0.363988564475655,0.518003220784682
"176",282031,44,817.727272727273,477.045454545455,NA,NA
"177",282049,8,1253.75,781.25,0.429351527611053,0.497246398392887
"178",282146,50,949.16,579.96,0.427544573866173,0.357312592545594
"179",292010,36,1269.91666666667,765.527777777778,0.428601041610357,0.32807481512148
"180",292095,52,0,0,NA,NA
"181",302015,12,1051.33333333333,662.5,0.450063779092548,0.411145036284561
"182",312011,9,1048,656.555555555556,0.420706044474948,0.441606007548055
"183",322016,28,965,599.821428571429,0.420925567874426,0.42351153575472
"184",332020,39,858.410256410256,512.384615384615,0.449900960229494,0.302614858734432
"185",341002,4,1248.25,758.75,0.430043300054736,0.478579575472621
"186",342122,12,1136.33333333333,712.25,0.423638451686241,0.363945710019606
"187",352039,32,956.03125,581.9375,0.453246994043255,0.368844646038961
"188",362018,44,866.5,534.75,0.407368261100108,0.368161641692432
"189",382019,34,816.058823529412,476.441176470588,0.376637703339677,0.340637549223029
"190",392014,64,1116.0625,690.484375,0.460401353109444,0.386046701505907
"191",401307,52,5.65384615384615,3.17307692307692,NA,NA
"192",402176,12,0,0,NA,NA
"193",402184,60,671.3,424.283333333333,0.378317042356138,0.341734729558205
"194",402192,79,961.012658227848,570.645569620253,NA,NA
"195",402214,14,909.928571428571,558.142857142857,0.42266275401201,0.452727171291859
"196",403431,4,1177,721.25,0.438968842453567,0.460144143888275
"197",403491,22,835.727272727273,512.681818181818,0.471920248760656,0.379692284852567
"198",412015,16,1105.3125,692.875,0.448402839048523,0.436103276919541
"199",422011,27,656.111111111111,401.111111111111,0.424287679978658,0.418617393223618
"200",422053,4,1194.25,747.25,0.416480239314568,0.49225042118812
"201",431001,24,1252.33333333333,782.333333333333,0.426785865196219,0.457833414264827
"202",434043,2,921.5,560.5,0.424536920869604,0.495895179087289
"203",442011,2,0,0,NA,NA
"204",452017,62,931.225806451613,576.322580645161,0.451290832831594,0.430950240368953
"205",462012,40,1053.1,644.125,0.396361153285375,0.391357606205107
"206",462250,20,69.35,43.45,0.00521091811414392,0.00167493796526055
"207",472018,58,0,0,NA,NA
"208",472051,43,676.139534883721,416.790697674419,0.391362760006488,0.457347282504992
"209",472085,24,975.666666666667,604.666666666667,0.412156900800815,0.375307683846779
"210",472115,56,980.625,607.910714285714,0.457969522655999,0.358271836984087
"211",472123,46,0,0,NA,NA
"212",472131,26,1552.07692307692,928.115384615385,0.377360093793491,0.341123801108286
"213",472158,44,630.840909090909,388.454545454545,0.256494218505457,0.224801234169926
"214",473278,8,1.375,1,NA,NA
"215",473294,12,942,581.25,0.418605060212202,0.399720800989218
"216",473502,24,992.708333333333,607.625,0.430912522492165,0.39125278685883
"217",473626,44,0,0,NA,NA
