"gpt_experience","gpt_impression","chilmbot_impression"
"利用経験なし","わからない","有用だと思う"
"利用経験なし","わからない","まあまあ有用だと思う"
"利用経験なし","わからない","まあまあ有用だと思う"
"利用経験あり","有用だと思う","有用だと思う"
"ChatGPTや大規模言語モデルが何かわからない","わからない","有用だと思う"
"利用経験なし","有用だと思う",NA
"利用経験なし","わからない","まあまあ有用だと思う"
"利用経験なし","わからない","有用だと思う"
"ChatGPTや大規模言語モデルが何かわからない","わからない","まあまあ有用だと思う"
"利用経験なし","わからない","有用だと思う"
"利用経験なし","まあまあ有用だと思う","有用だと思う"
"利用経験なし","わからない","まあまあ有用だと思う"
"利用経験なし","まあまあ有用だと思う","まあまあ有用だと思う"
"利用経験あり","まあまあ有用だと思う","有用だと思う"
"利用経験なし","まあまあ有用だと思う","まあまあ有用だと思う"
"利用経験なし","まあまあ有用だと思う","まあまあ有用だと思う"
"ChatGPTや大規模言語モデルが何かわからない","わからない","有用だと思う"
"利用経験あり","有用だと思う","有用だと思う"
"利用経験なし","まあまあ有用だと思う","まあまあ有用だと思う"
"利用経験あり","わからない","まあまあ有用だと思う"
"利用経験なし","","有用だと思う"
"利用経験あり","有用だと思う","有用だと思う"
"利用経験なし","有用だと思う","有用だと思う"
"ChatGPTや大規模言語モデルが何かわからない","まあまあ有用だと思う",NA
"利用経験あり","有用だと思う","まあまあ有用だと思う"
